-0.01,0.99,0.04,2.14,-0.79,0.49,37.81,-31.88,-8.78, 
-0.01,0.98,0.04,1.4,-0.85,-0.61,37.45,-32.4,-7.86, 
0,0.98,0.04,1.34,-0.18,-0.18,37.93,-32.2,-8.91, 
-0.01,0.99,0.04,0.79,-0.61,-0.61,37.32,-32.17,-7.81, 
-0.01,0.99,0.04,0.79,-0.31,-0.24,37.21,-31.97,-8.42, 
-0.03,1.01,0.09,2.01,2.93,-15.44,37.82,-32.06,-7.6, 
-0.04,0.99,0.11,3.72,15.93,-0.43,38.64,-32.26,-8.3, 
-0.01,0.98,0.07,2.93,26.86,-1.16,40.03,-31.79,-8.59, 
0.01,0.97,0.05,-1.46,35.1,2.32,42.97,-31.59,-6.98, 
0,1.01,0.08,14.89,38.09,3.54,45.06,-31.07,-8.26, 
0.03,1,0.05,-3.23,37.48,-1.16,48.02,-30.97,-6.56, 
0.07,0.95,-0.03,-8.18,25.94,-1.04,50.42,-30.65,-4.39, 
0.09,1.05,-0.01,-10.01,6.71,-11.78,52.09,-30.63,-2.58, 
0.08,1,0.08,13.31,22.09,-11.29,54.41,-28.3,-1.2, 
0.14,0.99,0.03,16.72,34.42,-5.86,56.48,-26.9,-1.12, 
0.19,0.9,-0.07,9.16,24.6,-10.8,58.24,-25.46,2.15, 
0.22,0.9,-0.16,-1.4,5.86,0.31,58.18,-24.27,4.32, 
0.19,1.06,0.07,-0.92,-21.3,2.14,58.65,-25.32,2.8, 
0.26,0.89,-0.03,-22.89,-42.6,2.44,57.73,-25.56,0.88, 
0.12,1.01,-0.03,-21.24,-38.94,-1.77,55.58,-26.92,-1.14, 
0.09,1.01,0.1,10.93,-18.92,9.52,53.78,-28.63,-3.85, 
0.14,0.97,0.03,1.4,8.24,-1.95,52.82,-28.85,-4.15, 
0.16,1,0.03,-0.55,2.08,-1.28,53.09,-28.44,-3.83, 
0.13,0.95,-0.02,5.31,6.29,3.78,53.82,-28.67,-3.67, 
0.16,1.02,0,1.4,3.54,0.85,53.58,-28.14,-4.27, 
0.15,1,0,5.31,-4.39,-4.09,53.88,-27.99,-3, 
0.16,0.86,0,7.32,6.65,-2.2,54.6,-27.23,-3.19, 
0.2,1,-0.02,2.62,2.81,-4.09,55.04,-27.01,-2.76, 
0.2,0.97,0.01,2.32,-3.3,2.99,55.2,-27.05,-3.02, 
0.17,0.97,0.02,5.86,2.56,4.46,55.68,-27.89,-2.97, 
0.19,0.99,-0.01,3.78,2.75,2.81,54.83,-26.84,-2.92, 
0.16,0.97,0.03,2.5,-0.43,1.53,54.77,-27.93,-2.42, 
0.16,0.97,0.01,0.85,0.18,2.14,54.81,-27.55,-2.93, 
0.15,1,0.02,3.54,-0.92,1.77,54.5,-27.44,-3.34, 
0.16,0.98,0.03,-1.34,2.81,-0.31,55.13,-27.65,-3.19, 
0.15,0.98,-0.04,4.15,-3.23,-0.79,55.02,-26.95,-1.59, 
0.16,0.95,0.05,4.58,-1.71,1.71,54.19,-27.38,-3.7, 
0.16,1,0,2.26,2.44,-0.92,54.47,-27.64,-2.99, 
0.14,0.96,0.05,5.07,0.12,2.5,54.97,-27,-3.77, 
0.15,0.99,0.04,3.54,3.11,-0.73,53.98,-26.84,-3.26, 
0.17,0.93,-0.01,4.88,-2.99,0.12,54.66,-26.6,-3.87, 
0.15,1,0.03,-12.88,-37.41,1.59,53.63,-27.11,-6.79, 
0.16,0.92,-0.04,-11.54,-43.33,-2.69,51.82,-28.43,-5.51, 
0.11,0.98,0.02,-3.72,-41.38,3.85,48.75,-30.48,-5.79, 
0.08,1.01,0.04,-2.38,-44.07,5.86,45.63,-31.26,-9.29, 
0.03,0.98,0.1,-1.34,-30.7,2.14,42.32,-32.35,-7.93, 
0.07,0.97,0.04,-5.19,-18.25,9.03,40.3,-33.58,-8.03, 
0.06,1.02,0.03,-3.36,-10.62,0.06,38.15,-34.91,-8.23, 
0.02,0.94,0,0.37,-6.77,0.85,37.77,-35.13,-7.2, 
0.07,1.02,0.05,1.4,0.79,1.4,36.27,-35.45,-7.01, 
0.04,0.97,-0.05,4.21,1.28,3.23,36.27,-35.66,-7.52, 
-0.03,1.03,0.14,8.12,9.52,0.85,36.25,-35.01,-7.39, 
0,1.06,0.09,15.5,42.66,-7.87,39.56,-33.02,-8.92, 
0.14,0.9,-0.05,16.11,39.61,-5.13,44.73,-30.86,-9.39, 
0.11,0.96,0.08,6.77,29.11,0.67,47.85,-29.9,-8.98, 
0.16,0.95,-0.06,0.55,27.47,-4.76,49.8,-29.31,-8.15, 
0.15,0.98,0.05,1.53,14.59,-0.18,50.99,-28.6,-7.62, 
0.12,0.96,0.07,-0.37,28.2,-5.92,52.95,-27.87,-6.3, 
0.16,0.9,0.03,-7.81,37.23,-1.4,55.37,-26.56,-3.21, 
0.15,1.01,-0.03,-12.27,28.75,16.54,56.63,-27.49,0.29, 
0.15,0.89,-0.17,-9.28,28.02,9.28,56.67,-27.59,3.05, 
0.17,1,-0.24,5.86,1.1,5.43,56.29,-28.36,5.74, 
0.05,0.99,-0.09,7.14,-21,7.63,55.2,-28.45,4.82, 
0.02,0.96,0.04,5.37,-12.39,-1.28,54.13,-28.78,2.01, 
0.06,0.97,-0.05,-1.22,1.59,-1.83,54.42,-28.8,0.94, 
0.06,1,-0.05,1.16,-1.59,0.18,54.97,-28.3,2.69, 
0.05,1,-0.03,1.28,5.68,-3.11,54.77,-28.76,2.7, 
0.09,0.99,-0.07,0.06,5.43,-0.24,54.69,-28.54,3.06, 
0.09,0.98,-0.08,-0.49,-1.1,1.71,55.19,-28.69,4.41, 
0.07,0.98,-0.04,0.98,-5.8,1.46,54.69,-28.63,3.22, 
0.06,0.96,-0.05,-0.98,-2.5,-1.1,54.85,-28.59,2.92, 
0.09,0.96,-0.09,2.01,-1.83,-0.85,54.58,-29.13,2.49, 
0.07,1,-0.07,1.34,-5.25,2.26,54.61,-28.81,1.67, 
0.07,0.97,-0.08,1.46,-6.35,1.77,53.93,-28.99,2.29, 
0.06,1.02,-0.06,1.89,-10.01,3.3,53.45,-29,2.27, 
0.07,0.95,-0.11,3.66,-13,2.75,53.15,-29.48,0.43, 
0.03,1.02,-0.04,4.58,-13.37,4.09,51.95,-30.04,-1.37, 
0.03,0.97,-0.03,1.4,-12.15,2.08,50.95,-30.58,-2.44, 
0.02,1,-0.04,2.32,-9.52,2.75,50.18,-30.88,-3.76, 
0.02,0.97,-0.04,2.87,-7.2,1.4,50.15,-31.4,-3.14, 
0.01,1,-0.03,3.05,-7.08,3.17,49.01,-31.96,-3.37, 
0,1,0,3.42,-6.9,2.81,48.17,-31.77,-3.69, 
-0.01,0.99,0,2.01,0.31,-1.28,47.75,-31.98,-5.03, 
0.01,0.99,-0.03,1.4,-0.06,-0.92,47.89,-31.27,-5.18, 
0.01,0.98,-0.03,1.65,-1.95,-0.55,48.17,-31.74,-3.92, 
0.03,0.99,-0.07,1.95,-6.9,1.77,47.51,-31.84,-5.19, 
0.01,0.99,-0.07,-0.49,-15.08,3.97,46.67,-32.08,-5.2, 
